,timestamp,current_engine_rpm,acceleration_x,acceleration_y,acceleration_z,velocity_x,velocity_y,velocity_z,yaw,pitch,roll,position_x,position_y,position_z,speed,power,torque
666,6634,8999.9951171875,-7.693288326263428,0.352583646774292,13.490629196166992,16.356544494628906,0.2303316295146942,12.242823600769043,1.5958298444747925,0.010029774159193039,-0.006277820095419884,-5043.77294921875,179.29690551757812,-325.42999267578125,20.43223762512207,875107.3125,1009.5113525390625
684,6766,8999.9951171875,-6.145148277282715,0.2756336033344269,13.87404727935791,17.072389602661133,0.20815080404281616,11.64804458618164,1.461398959159851,0.00933746062219143,-0.00458926148712635,-5042.18408203125,179.29844665527344,-327.4591369628906,20.668493270874023,864095.3125,949.0629272460938
702,6893,8999.9951171875,-3.1557774543762207,-0.07455898821353912,13.439062118530273,17.91590118408203,0.1656949669122696,11.119904518127441,1.3394582271575928,0.009078212082386017,-0.0035854445304721594,-5040.41357421875,179.30064392089844,-329.3562316894531,21.086944580078125,861110.125,964.90576171875
720,7019,8999.9951171875,-2.38970947265625,-0.11758574098348618,13.23193359375,18.591659545898438,0.12496361881494522,10.923429489135742,1.240845799446106,0.007236412726342678,-0.0025841770693659782,-5038.4609375,179.30210876464844,-331.1549072265625,21.56355094909668,854130.0,975.2410888671875
738,7148,8999.9951171875,-3.6803765296936035,-0.1072966530919075,13.437664985656738,18.905242919921875,0.11337723582983017,11.147590637207031,1.1647001504898071,0.005755406338721514,-0.002975021256133914,-5036.31005859375,179.3026123046875,-332.86187744140625,21.94743537902832,-259679.046875,-287.521240234375
756,7273,8999.9951171875,-6.037191867828369,0.05510083958506584,14.100641250610352,18.764907836914062,0.14141659438610077,11.597734451293945,1.1029390096664429,0.005531386472284794,-0.0052212197333574295,-5034.0361328125,179.29946899414062,-334.39044189453125,22.06012725830078,857446.375,944.0962524414062
774,7401,8999.9951171875,-7.207834720611572,0.3274837136268616,13.902957916259766,18.488712310791016,0.16826608777046204,12.126733779907227,1.0441086292266846,0.0056071472354233265,-0.005771337077021599,-5031.58447265625,179.295654296875,-335.7533264160156,22.111499786376953,843136.25,959.1103515625
792,7534,8999.9951171875,-7.7425127029418945,0.06524140387773514,12.203354835510254,18.193099975585938,0.17934079468250275,12.70062255859375,0.9893601536750793,0.006523439195007086,-0.005916303489357233,-5029.03955078125,179.29441833496094,-336.89239501953125,22.188440322875977,845114.0625,932.3816528320312
810,7661,8999.9951171875,-7.38947868347168,-0.05365573987364769,12.565826416015625,17.862882614135742,0.17523890733718872,13.343137741088867,0.9364433884620667,0.005872638896107674,-0.006341301836073399,-5026.3525390625,179.29335021972656,-337.8293762207031,22.296918869018555,836735.4375,950.7527465820312
828,7793,8999.9951171875,-8.402814865112305,0.08838506788015366,12.166300773620605,17.448760986328125,0.18508963286876678,14.118644714355469,0.8849120140075684,0.0036787260323762894,-0.0060635958798229694,-5023.51123046875,179.2958984375,-338.5471496582031,22.446149826049805,842183.0,929.1576538085938
